HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-12-31 22:00;2023-12-31 23:00;DK2;200,309998;26,870001
2023-12-31 21:00;2023-12-31 22:00;DK2;213,729996;28,670000
2023-12-31 20:00;2023-12-31 21:00;DK2;220,660004;29,600000
2023-12-31 19:00;2023-12-31 20:00;DK2;260,100006;34,889999
2023-12-31 18:00;2023-12-31 19:00;DK2;295,510010;39,639999
2023-12-31 17:00;2023-12-31 18:00;DK2;338,070007;45,349998
2023-12-31 16:00;2023-12-31 17:00;DK2;372,739990;50,000000
2023-12-31 15:00;2023-12-31 16:00;DK2;377,730011;50,669998
2023-12-31 14:00;2023-12-31 15:00;DK2;339,709991;45,570000
2023-12-31 13:00;2023-12-31 14:00;DK2;308,700012;41,410000
2023-12-31 12:00;2023-12-31 13:00;DK2;324,730011;43,560001
2023-12-31 11:00;2023-12-31 12:00;DK2;318,839996;42,770000
2023-12-31 10:00;2023-12-31 11:00;DK2;323,690002;43,419998
2023-12-31 09:00;2023-12-31 10:00;DK2;314,959991;42,250000
2023-12-31 08:00;2023-12-31 09:00;DK2;332,559998;44,610001
2023-12-31 07:00;2023-12-31 08:00;DK2;359,619995;48,240002
2023-12-31 06:00;2023-12-31 07:00;DK2;328,529999;44,070000
2023-12-31 05:00;2023-12-31 06:00;DK2;298,260010;40,009998
2023-12-31 04:00;2023-12-31 05:00;DK2;292,750000;39,270000
2023-12-31 03:00;2023-12-31 04:00;DK2;284,320007;38,139999
2023-12-31 02:00;2023-12-31 03:00;DK2;297,890015;39,959999
2023-12-31 01:00;2023-12-31 02:00;DK2;304,450012;40,840000
2023-12-31 00:00;2023-12-31 01:00;DK2;303,329987;40,689999
2023-12-30 23:00;2023-12-31 00:00;DK2;334,500000;44,869999
2023-12-30 22:00;2023-12-30 23:00;DK2;322,170013;43,230000
2023-12-30 21:00;2023-12-30 22:00;DK2;373,369995;50,099998
2023-12-30 20:00;2023-12-30 21:00;DK2;410,929993;55,139999
2023-12-30 19:00;2023-12-30 20:00;DK2;462,130005;62,009998
2023-12-30 18:00;2023-12-30 19:00;DK2;529,789978;71,089996
2023-12-30 17:00;2023-12-30 18:00;DK2;596,119995;79,989998
2023-12-30 16:00;2023-12-30 17:00;DK2;595,599976;79,919998
2023-12-30 15:00;2023-12-30 16:00;DK2;521,599976;69,989998
2023-12-30 14:00;2023-12-30 15:00;DK2;419,200012;56,250000
2023-12-30 13:00;2023-12-30 14:00;DK2;313,299988;42,040001
2023-12-30 12:00;2023-12-30 13:00;DK2;247,789993;33,250000
2023-12-30 11:00;2023-12-30 12:00;DK2;271,119995;36,380001
2023-12-30 10:00;2023-12-30 11:00;DK2;295,420013;39,639999
